Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5Eax0qFko2dh7Rl2lYs3bx,"Efecto","Un Verano Sin Ti","Bad Bunny",2022-05-06,213061,84,true,ben.doan4366,2025-03-13T17:58:13Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.801,0.475,7,-8.797,0,0.0516,0.141,0.0000173,0.0639,0.234,98.047,4
spotify:track:71pEiUWwfDFiRO6RmFpnBf,"MOJAITA","OASIS","J Balvin;Bad Bunny",2019-06-28,187333,65,false,ben.doan4366,2025-03-13T17:58:13Z,"reggaeton,latin,trap latino,urbano latino","Universal Music Latino / Rimas",0.449,0.843,0,-3.602,1,0.0992,0.0171,0,0.377,0.889,172.069,4
spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Me Porto Bonito","Un Verano Sin Ti","Bad Bunny;Chencho Corleone",2022-05-06,178567,86,true,ben.doan4366,2025-03-13T17:58:13Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.911,0.712,1,-5.105,0,0.0817,0.0901,0.0000268,0.0933,0.425,92.005,4
spotify:track:4tYFy8ALRjIZvnvSLw5lxN,"Party","Un Verano Sin Ti","Bad Bunny;Rauw Alejandro",2022-05-06,227628,84,true,ben.doan4366,2025-03-13T17:58:13Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,4
spotify:track:2NMjggapJcXXM7WccGEBUO,"Enséñame a Bailar","Un Verano Sin Ti","Bad Bunny",2022-05-06,176000,81,false,ben.doan4366,2025-03-13T17:58:13Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.81,0.789,8,-5.08,1,0.0846,0.191,0.0000108,0.467,0.77,105.009,4
spotify:track:1ODFVLQszq0hCOdZtqV5wq,"MR. OCTOBER","nadie sabe lo que va a pasar mañana","Bad Bunny",2023-10-13,189258,74,true,ben.doan4366,2025-03-13T17:58:13Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.805,0.612,8,-5.682,0,0.172,0.188,0.0000196,0.134,0.425,126.013,4
spotify:track:7knLcYCOSaURD0d7HUULFM,"COMO UN BEBÉ","OASIS","J Balvin;Bad Bunny;Mr Eazi",2019-06-28,218826,74,false,ben.doan4366,2025-03-13T17:58:13Z,"reggaeton,latin,trap latino,urbano latino,afrobeats,afrobeat,afropop,azonto,afroswing,hiplife,ghanaian hip hop,dancehall","Universal Music Latino / Rimas",0.825,0.807,6,-5.753,1,0.095,0.0741,0.00000479,0.138,0.816,103.053,4
spotify:track:2mnXxnrX5vCGolNkaFvVeM,"La Jumpa","SR. SANTOS","Arcángel;Bad Bunny",2022-12-01,255693,74,true,ben.doan4366,2025-03-13T17:58:13Z,"reggaeton,trap latino,urbano latino,latin","Rimas Entertainment LLC.",0.713,0.703,8,-5.769,1,0.194,0.298,0,0.321,0.576,123.06,4
spotify:track:1oQppEGTHYN53xfEaTz4ua,"VAI MENINA","VAI MENINA","PEDRO SAMPAIO",2019-01-25,122435,61,false,ben.doan4366,2025-03-13T17:59:17Z,"brazilian funk,funk pop,funk carioca,brazilian pop,brega funk","WM Brazil",0.795,0.878,1,-3.261,0,0.278,0.413,0,0.0968,0.963,149.971,4
spotify:track:7FiIQXpIeLo3ITfGGpb8PB,"Vamos pra Gaiola","Vamos pra Gaiola","MC Kevin o Chris;FP do Trem Bala",2019-01-11,161600,69,true,ben.doan4366,2025-03-13T18:01:18Z,"brazilian funk,funk carioca,brega funk","ADPAR Produções",0.872,0.971,6,-5.576,1,0.281,0.917,0.00143,0.121,0.521,149.987,4
