Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:63gzLvfmRSTbLBputPGcu0,"Southern Cross - Live","Live at Fenway Park","Jimmy Buffett",2005-11-15,298080,12,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:02Z,"","Mailboat Records",0.415,0.769,2,-10.43,1,0.0667,0.401,0.0229,0.684,0.704,172.839,4
spotify:track:3RwQywYN32GufuILqLiLIr,"Son of a Son of a Sailor - Live","Live in Anguilla","Jimmy Buffett",2007-11-06,200280,15,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:04Z,"","Mailboat Records",0.635,0.694,0,-7.421,1,0.0381,0.726,0,0.982,0.603,122.324,4
spotify:track:4Q8DZiTShqeVXTXD21yFXA,"One Particular Harbour - Live","Buffett Live: Tuesdays, Thursdays, Saturdays","Jimmy Buffett",1999-11-09,370760,26,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:09Z,"","Mailboat Records",0.559,0.85,4,-7.799,1,0.0365,0.217,0.00027,0.398,0.636,93.322,4
spotify:track:53bLGaCCQ74XUTgs1Yd36I,"Great Heart","Hot Water","Jimmy Buffett",1988-01-01,307266,23,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:12Z,"","Geffen*",0.79,0.502,9,-14.131,1,0.0439,0.0539,0.00015,0.057,0.95,121.868,4
spotify:track:6YdFbGDL5jAlGFDiCzPMhX,"Everybody's Got A Cousin In Miami","Fruitcakes","Jimmy Buffett",1994-01-01,439440,35,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:19Z,"","Geffen*",0.759,0.667,10,-8.904,1,0.117,0.484,0,0.108,0.913,142.001,4
spotify:track:6sWkF5F70HPHuSZKopBfoD,"Come Monday - Live","Live in Cincinnati, OH","Jimmy Buffett",2004-01-13,285333,12,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:24Z,"","Mailboat Records",0.525,0.798,9,-6.648,1,0.07,0.55,0,0.96,0.365,105.007,4
spotify:track:2iM0vP8rJsr8dcL9CuvotV,"Boat Drinks - Live","Volcano (Live 2011)","Jimmy Buffett",2011-09-06,216292,16,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:29Z,"","Mailboat Records",0.566,0.83,2,-6.345,1,0.0963,0.616,0,0.977,0.819,132.224,4
spotify:track:0010BnyFuw94XFautS2uJp,"La Vie Dansante - Live","Live at Wrigley Field","Jimmy Buffett",2006,198173,12,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:32Z,"","Mailboat Records",0.525,0.66,2,-10.475,1,0.0325,0.244,0,0.981,0.623,84.042,4
spotify:track:5kDNCrUPGgANZA85iH8pLi,"Grapefruit-Juicy Fruit - Live","Live in Anguilla","Jimmy Buffett",2007-11-06,175573,17,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:35Z,"","Mailboat Records",0.503,0.741,7,-6.211,1,0.0515,0.741,0.00000237,0.955,0.644,133.577,4
spotify:track:2uEe1rmTUaVBxzdR3aVYRx,"Chanson Pour Les Petits Enfants - Live","Volcano (Live 2011)","Jimmy Buffett",2011-09-06,256193,12,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:37Z,"","Mailboat Records",0.436,0.621,2,-7.841,1,0.0352,0.501,0,0.913,0.522,130.073,4
spotify:track:13WOa3lSAFgXhKfMfSgk78,"Coconut Telegraph - Live","Buffett Live: Tuesdays, Thursdays, Saturdays","Jimmy Buffett",1999-11-09,192773,23,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:39Z,"","Mailboat Records",0.553,0.818,4,-7.471,1,0.0777,0.249,0.000001,0.946,0.842,152.558,4
spotify:track:1md8aI1KaYSQDUJlGHIfez,"Pencil Thin Moustache - Live","Live at Fenway Park","Jimmy Buffett",2005-11-15,207133,11,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:41Z,"","Mailboat Records",0.509,0.71,0,-6.6,1,0.0411,0.79,0.00119,0.942,0.541,133.305,4
spotify:track:1adqG39zcJeXqG94VKi2D4,"One Particular Harbour","Live In Hawaii","Jimmy Buffett",2005-03-22,417066,12,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:44Z,"","Mailboat Records",0.616,0.762,4,-6.758,1,0.0526,0.624,0.00284,0.809,0.667,93.295,4
spotify:track:3lwtjXh1Cv5Jj7IMMfQpYB,"We Are the People Our Parents Warned Us About","Live In Hawaii","Jimmy Buffett",2005-03-22,337240,14,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:49Z,"","Mailboat Records",0.568,0.677,7,-7.662,1,0.14,0.577,0,0.927,0.718,137.111,4
spotify:track:6YjhHklpPHWpJGVCQQKCXs,"Cheeseburger in Paradise - Live","Live in Anguilla","Jimmy Buffett",2007-11-06,190666,18,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:52Z,"","Mailboat Records",0.606,0.953,2,-5.065,1,0.0701,0.404,0,0.95,0.845,136.097,4
spotify:track:0OlnoRYh6bR5BJavfKPKII,"Mexico - Live","Live in Las Vegas, NV","Jimmy Buffett",2003,243600,15,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:55Z,"","Mailboat Records",0.438,0.942,11,-5.1,1,0.054,0.363,0,0.803,0.691,128.493,4
spotify:track:0YLshByAexHCWQ0mSYCrfE,"One Particular Harbour - Live","Live in Anguilla","Jimmy Buffett",2007-11-06,367066,21,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:56Z,"","Mailboat Records",0.552,0.924,4,-5.632,1,0.0479,0.381,0.0000474,0.721,0.805,95.139,4
spotify:track:1Y7oxGFro3TUIRZHtcCtXD,"Fins - Live","Volcano (Live 2011)","Jimmy Buffett",2011-09-06,262989,17,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:55:57Z,"","Mailboat Records",0.572,0.888,1,-7.809,0,0.0911,0.0495,0.00000289,0.897,0.65,137.061,4
spotify:track:0pYVm67OYOzjOxZ4VQ1gKB,"A Pirate Looks At Forty / Redemption Song - Live","Live in Anguilla","Jimmy Buffett",2007-11-06,289906,20,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:56:00Z,"","Mailboat Records",0.561,0.508,7,-8.263,1,0.0264,0.812,0,0.98,0.459,111.984,4
spotify:track:1fJY4cx9lXwaFB5aPIkLS7,"Boat Drinks - Live","Live at Fenway Park","Jimmy Buffett",2005-11-15,257693,17,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:56:07Z,"","Mailboat Records",0.522,0.819,2,-8.904,1,0.153,0.64,0.00000863,0.965,0.738,133.136,4
spotify:track:3kawBgeEJMPI0aw7XH5lFA,"A Pirate Looks At 40 - Live/1990","Feeding Frenzy","Jimmy Buffett",1990-01-01,269212,28,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:56:14Z,"","Geffen*",0.571,0.373,7,-13.359,1,0.0287,0.765,0,0.984,0.398,105.194,4
spotify:track:0A8OXDcLHytptun6nLWqL1,"Breathe In, Breathe Out, Move On","Take the Weather with You","Jimmy Buffett",2006-10-10,197306,42,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:56:17Z,"","Mailboat Records",0.566,0.484,11,-6.815,1,0.0272,0.391,0.00000458,0.285,0.316,112.721,4
spotify:track:5CQLQZ41IVDntufcKEngeg,"Trip Around the Sun","License to Chill","Jimmy Buffett;Martina McBride",2004-07-13,199453,35,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:56:23Z,"country","Mailboat Records",0.625,0.764,4,-5.362,1,0.0268,0.124,0.000641,0.113,0.466,117.774,4
spotify:track:0vFgLKtj0VEKISuaqSsuWE,"Boats to Build","License to Chill","Jimmy Buffett;Alan Jackson",2004-07-13,174760,33,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:56:28Z,"country,country christian,classic country,traditional country","Mailboat Records",0.594,0.62,4,-6.374,1,0.0278,0.472,0.00106,0.305,0.596,116.754,4
spotify:track:4lAnmpu1xsfHjMrGcHwWMl,"Savannah Fare You Well","Far Side of the World","Jimmy Buffett",2002-03-19,268133,28,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:56:31Z,"","Mailboat Records",0.576,0.416,7,-8.864,1,0.0256,0.621,0.0261,0.0534,0.226,135.8,4
spotify:track:187WC4gYqSI06FdR26bRpZ,"Last Mango In Paris - Live/1990","Feeding Frenzy","Jimmy Buffett",1990-01-01,218685,30,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:56:36Z,"","Geffen*",0.462,0.697,4,-11.049,1,0.129,0.592,0,0.957,0.492,138.82,4
spotify:track:6oFb31dEUHD7pwWVT03F8I,"Trying to Reason With Hurricane Season - Live","Buffett Live: Tuesdays, Thursdays, Saturdays","Jimmy Buffett",1999-11-09,292866,24,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:56:38Z,"","Mailboat Records",0.517,0.355,2,-9.862,1,0.0275,0.707,0,0.966,0.25,108.996,4
spotify:track:00RhgYVH6DrHl0SuZWDp8W,"Brown Eyed Girl - Live","Buffett Live: Tuesdays, Thursdays, Saturdays","Jimmy Buffett",1999-11-09,340293,25,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:56:41Z,"","Mailboat Records",0.605,0.88,7,-7.603,1,0.0794,0.27,0.000629,0.709,0.723,138.966,4
spotify:track:1TWsiBt26JRNg7rMCnlvz3,"Jolly Mon","Live In Hawaii","Jimmy Buffett",2005-03-22,267933,11,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:56:46Z,"","Mailboat Records",0.556,0.518,2,-7.561,1,0.156,0.844,0.00000151,0.676,0.719,165.812,4
